Defective embedding notation 3,Bashicu matrix 4,Note
"(1,0)1","(0)"
"(1,0)1(2,1,0)1(3,2)1(4,1)1","(0)(1,1)(2)(1)"
"(1,0)1(2,1,0)1(3,2)1(4,1)1(5,4,1)1(6,5)1","(0)(1,1)(2)(1)(2,1)(3)"
"(1,0)1(2,1,0)1(3,2)1(4,1,0)1","(0)(1,1)(2)(1,1)"
"(1,0)1(2,1,0)1(3,2)1(4,1,0)1(5,4)1","(0)(1,1)(2)(1,1)(2)"
"(1,0)1(2,1,0)1(3,2)1(4,2)1","(0)(1,1)(2)(2)"
"(1,0)1(2,1,0)1(3,2)1(4,3)1","(0)(1,1)(2)(3)"
"(1,0)1(2,1,0)1(3,2)1(4,3,2)1","(0)(1,1)(2)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2","(0)(1,1)(2,1)","二行传递所在地。这里的3,2,1,0和2,1,0相似，但不是3,2,0。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,0)1(5,4,0)1(6,5,4,0)2","(0)(1,1)(2,1)(0)(1,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1)1","(0)(1,1)(2,1)(1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1","(0)(1,1)(2,1)(1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1(5,1,0)1","(0)(1,1)(2,1)(1,1)(1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1(5,4)1","(0)(1,1)(2,1)(1,1)(2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1(5,4)1(6,5,4)1","(0)(1,1)(2,1)(1,1)(2)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1(5,4)1(6,5,4)1(7,6,5,4)2","(0)(1,1)(2,1)(1,1)(2)(3,1)(4,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1(5,4)1(6,5,4)1(7,6,5,4)2(8,5,4)1","(0)(1,1)(2,1)(1,1)(2)(3,1)(4,1)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,1,0)1(5,4,1,0)2","(0)(1,1)(2,1)(1,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,2)1","(0)(1,1)(2,1)(2)","Redeclare: (4,2)的2应该是第二项。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,2)1(5,4,2)1","(0)(1,1)(2,1)(2)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,2)1(5,4,2)1(6,5,4,2)2","(0)(1,1)(2,1)(2)(3,1)(4,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,2,1,0)2","(0)(1,1)(2,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3)1","(0)(1,1)(2,1)(3)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3","(0)(1,1)(2,1)(3,1)","(4,3,2,1,0)应该是(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1的产物，我不知道，反正和(3,2,1,0)类似。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,2,1,0)2","(0)(1,1)(2,1)(3,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,2,1,0)2(6,5,2,1,0)3","(0)(1,1)(2,1)(3,1)(2,1)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,3,2,1,0)3","(0)(1,1)(2,1)(3,1)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4)1","(0)(1,1)(2,1)(3,1)(4)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4,2,1,0)3","(0)(1,1)(2,1)(3,1)(4,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4,2,1,0)3(6,3,2,1,0)3","(0)(1,1)(2,1)(3,1)(4,1)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4,2,1,0)3(6,4,2,1,0)3","(0)(1,1)(2,1)(3,1)(4,1)(4,1)","这里63210和64210容易混淆，看第二项指的是den3整体哪个项就可以了。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4,2,1,0)3(6,5,2,1,0)3","(0)(1,1)(2,1)(3,1)(4,1)(5,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4,3)1","(0)(1,1)(2,2)","这里开始错层，相当于(0)(1,1)(2,1)(3,1)(4,2)。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,4,3)1(6,3,2,1,0)3","(0)(1,1)(2,2)(2,1)(3,2)(3,1)","(0)(1,1)(2,1)(3,1)(4,2)(3,1) 这里直接补层Apply"
