Parented predecessor sequence 4,Main
"0,1,1,0,0,5,4,4,7,7","1,2,3,4,4,2,1,2,3,3"
"0,1,1,0,0,5,4,4,8","1,2,3,4,4,2,1,2,3,4"
"0,1,1,0,0,5,4,4,8,4","1,2,3,4,4,2,1,2,3,4,2"
"0,1,1,0,0,5,4,4,8,4,4,11","1,2,3,4,4,2,1,2,3,4,2,3,4"
"0,1,1,0,0,5,4,5","1,2,3,4,4,2,1,2,3,4,3"
"0,1,1,0,0,5,4,5,4,4,4,10","1,2,3,4,4,2,1,2,3,4,3,2,3"
"0,1,1,0,0,5,4,5,4,4,4,11","1,2,3,4,4,2,1,2,3,4,3,2,3,4"
"0,1,1,0,0,5,4,5,4,4,4,11,4,4,14","1,2,3,4,4,2,1,2,3,4,3,2,3,4,2,3,4"
"0,1,1,0,0,5,4,5,4,4,4,11,4,11","1,2,3,4,4,2,1,2,3,4,3,2,3,4,3"
"0,1,1,0,0,5,4,5,4,4,5","1,2,3,4,4,2,1,2,3,4,3,3"
"0,1,1,0,0,5,4,5,4,4,5,4,4,4,14","1,2,3,4,4,2,1,2,3,4,3,3,2,3,4"
"0,1,1,0,0,5,4,5,4,4,5,4,4,4,14,4,14","1,2,3,4,4,2,1,2,3,4,3,3,2,3,4,3"
"0,1,1,0,0,5,4,5,4,4,5,4,4,4,14,4,14,4,4,14","1,2,3,4,4,2,1,2,3,4,3,3,2,3,4,3,3"
"0,1,1,0,0,5,4,5,4,4,5,4,4,5","1,2,3,4,4,2,1,2,3,4,3,3,3"
"0,1,1,0,0,5,4,5,4,7","1,2,3,4,4,2,1,2,3,4,3,4"
"0,1,1,0,0,5,4,5,4,7,4,4","1,2,3,4,4,2,1,2,3,4,3,4,2,2"
"0,1,1,0,0,5,4,5,4,7,4,4,12","1,2,3,4,4,2,1,2,3,4,3,4,2,3,4"
"0,1,1,0,0,5,4,5,4,7,4,4,12,4,12","1,2,3,4,4,2,1,2,3,4,3,4,2,3,4,3"
"0,1,1,0,0,5,4,5,4,7,4,4,12,4,12,4,4,12","1,2,3,4,4,2,1,2,3,4,3,4,2,3,4,3,3"
"0,1,1,0,0,5,4,5,4,7,4,4,12,4,12,4,14","1,2,3,4,4,2,1,2,3,4,3,4,2,3,4,3,4"
"0,1,1,0,0,5,4,5,4,7,4,5","1,2,3,4,4,2,1,2,3,4,3,4,3"
"0,1,1,0,0,5,4,5,4,7,4,5,4,11","1,2,3,4,4,2,1,2,3,4,3,4,3,4"
"0,1,1,0,0,5,4,5,4,7,7","1,2,3,4,4,2,1,2,3,4,4"
"0,1,1,0,0,5,4,5,4,7,7,4","1,2,3,4,4,2,1,2,3,4,4,2"
"0,1,1,0,0,5,4,5,4,7,7,4,4,12","1,2,3,4,4,2,3"
"0,1,1,0,0,5,4,5,4,7,7,4,4,13","1,2,3,4,4,2,3,4"
"0,1,1,0,0,5,4,5,4,7,7,4,4,13,4,13","1,2,3,4,4,2,3,4,3"
"0,1,1,0,0,5,4,5,4,7,7,4,4,13,4,13,4,15","1,2,3,4,4,2,3,4,3,4"
"0,1,1,0,0,5,4,5,4,7,7,4,4,13,4,13,4,15,4,13,4,19","1,2,3,4,4,2,3,4,3,4,3,4"
"0,1,1,0,0,5,4,5,4,7,7,4,4,13,4,13,4,15,15","1,2,3,4,4,2,3,4,4"
"0,1,1,0,0,5,4,5,4,7,7,4,5","1,2,3,4,4,3"
"0,1,1,0,0,5,4,5,4,7,7,4,5,4,12","1,2,3,4,4,3,4"
"0,1,1,0,0,5,4,5,4,7,7,4,5,4,12,4,5,4,16","1,2,3,4,4,3,4,3,4"
"0,1,1,0,0,5,4,5,4,7,7,4,5,4,12,12","1,2,3,4,4,3,4,4"
"0,1,1,0,0,5,4,5,4,7,7,4,5,4,12,12,4,5,4,17,17","1,2,3,4,4,3,4,4,3,4,4"
"0,1,1,0,0,5,4,5,4,7,7,7","1,2,3,4,4,4"
"0,1,1,0,0,5,4,5,4,9","1,2,3,4,5"
"0,1,1,0,0,5,4,5,4,9,4","1,2,3,4,5,2"
"0,1,1,0,0,5,4,5,4,9,4,4,12","1,2,3,4,5,2,3,4"
"0,1,1,0,0,5,4,5,4,9,4,9","1,2,3,4,5,2,3,4,3"
"0,1,1,0,0,5,4,5,4,9,4,9,4,11","1,2,3,4,5,2,3,4,3,4"
"0,1,1,0,0,5,4,5,4,9,4,9,4,11,11","1,2,3,4,5,2,3,4,4"
"0,1,1,0,0,5,4,5,4,9,4,9,4,13","1,2,3,4,5,2,3,4,5"
"0,1,1,0,0,5,4,5,4,9,4,9,4,13,4,13,4,15","1,2,3,4,5,2,3,4,5,2,3,4,3,4"
"0,1,1,0,0,5,4,5,4,9,4,9,4,13,4,13,4,15,15","1,2,3,4,5,2,3,4,5,2,3,4,4"
"0,1,1,0,0,5,4,5,4,9,4,9,4,13,4,13,4,17","1,2,3,4,5,2,3,4,5,2,3,4,5"
"0,1,1,0,0,5,4,5,4,9,4,9,4,13,4,13,4,17,4,17,4,21","1,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5"
"0,1,1,0,0,5,4,5,5","1,2,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4","1,2,3,4,5,3,2"
"0,1,1,0,0,5,4,5,5,4,4,4,12","1,2,3,4,5,3,2,3,4"
"0,1,1,0,0,5,4,5,5,4,4,4,12,4,12,4,16","1,2,3,4,5,3,2,3,4,5"
"0,1,1,0,0,5,4,5,5,4,4,4,12,4,12,12","1,2,3,4,5,3,2,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,4,5","1,2,3,4,5,3,3"
"0,1,1,0,0,5,4,5,5,4,4,5,4,11","1,2,3,4,5,3,4"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13","1,2,3,4,5,3,4,5"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13,4,4,16","1,2,3,4,5,3,4,5,2,3,4"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13,4,13","1,2,3,4,5,3,4,5,2,3,4,3"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13,4,13,4,4,13","1,2,3,4,5,3,4,5,2,3,4,3,3"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13,4,13,4,17","1,2,3,4,5,3,4,5,2,3,4,5"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13,4,13,13","1,2,3,4,5,3,4,5,2,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,4,5,4,13,4,13,13,4,4,13,4,21","1,2,3,4,5,3,4,5,2,3,4,5,3,4,5"
"0,1,1,0,0,5,4,5,5,4,4,5,5","1,2,3,4,5,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,4,5,5,4,4,5,5","1,2,3,4,5,3,4,5,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,7","1,2,3,4,5,4"
"0,1,1,0,0,5,4,5,5,4,7,4,5","1,2,3,4,5,4,3"
"0,1,1,0,0,5,4,5,5,4,7,4,5,4,14","1,2,3,4,5,4,3,4,5"
"0,1,1,0,0,5,4,5,5,4,7,4,5,4,14,4,14,14","1,2,3,4,5,4,3,4,5,2,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,7,4,5,5","1,2,3,4,5,4,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,7,4,5,5,4,12","1,2,3,4,5,4,3,4,5,4"
"0,1,1,0,0,5,4,5,5,4,7,7","1,2,3,4,5,4,4"
"0,1,1,0,0,5,4,5,5,4,10","1,2,3,4,5,4,5"
"0,1,1,0,0,5,4,5,5,4,10,4,4,13","1,2,3,4,5,4,5,2,3,4"
"0,1,1,0,0,5,4,5,5,4,10,4,10","1,2,3,4,5,4,5,2,3,4,3"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,4,4,16","1,2,3,4,5,4,5,2,3,4,3,2,3,4"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,4,4,16,4,16","1,2,3,4,5,4,5,2,3,4,3,2,3,4,3"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,4,10","1,2,3,4,5,4,5,2,3,4,3,3"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,12","1,2,3,4,5,4,5,2,3,4,3,4"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,12,12","1,2,3,4,5,4,5,2,3,4,4"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,14","1,2,3,4,5,4,5,2,3,4,5"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,14,4,4,17","1,2,3,4,5,4,5,2,3,4,5,2,3,4"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,14,4,14","1,2,3,4,5,4,5,2,3,4,5,2,3,4,3"
